rid,recommendation,recommendation_fr
1,Replanting of all trees segmented into 4. Starting from year 1,Replantation de tous les arbres segmentés en 4. À partir de l'année 1
2,Removal and cutting of trees to get average planting distance from year 1,Élimination et coupe des arbres pour obtenir une distance moyenne de plantation à partir de l'année 1
3,"If the tree show signs of decay it should be cut and replaced. If the trees are infested with other pests please control affected trees immediately (for stem borers- block open ways with sticks or other means, control moss with fungicides etc)","Si l'arbre présente des signes de pourriture, il doit être coupé et remplacé. Si les arbres sont infestés par d'autres ravageurs, veuillez contrôler immédiatement les arbres affectés (pour les foreurs de tige - bloquer les voies ouvertes avec des bâtons o"
4,"Cut, treat the soil and replace all trees","Couper, traiter le sol et remplacer tous les arbres"
5,Prune cocoa trees to have one stem and 3-4 branches. Remove apex branches to reduce tree height,Taillez les cacaoyers pour avoir une tige et 3-4 branches. Retirez les branches de l'apex pour réduire la hauteur des arbres
6,"If the pests and diseases can be observed on more than 60 trees per acre, please apply recommended chemicals. If the pests and diseases observed is on less than 60 trees per acre, please use recommed intesification of cultural practices on the farm","Si les ravageurs et les maladies peuvent être observés sur plus de 60 arbres par acre, veuillez appliquer les produits chimiques recommandés. Si les ravageurs et les maladies observés concernent moins de 60 arbres par acre, veuillez utiliser l'intesificat"
7,Spread evenly on the farm to mulch the soil and add organic amendment,Répartir uniformément sur la ferme pour pailler le sol et ajouter un amendement organique
8,Take away from the farm,A emporter de la ferme
9,Remove diseased cocoa husk from the farm immediately following protocol,Retirer la coque de cacao malade de la ferme immédiatement après le protocole
10,Weed the farm with a sharp cutlass or use any appropriate equipment or tool to weed,Désherber la ferme avec un coutelas tranchant ou utiliser tout équipement ou outil approprié pour désherber
11,Weed thoroughly the farm.Weeds on the farm should not be above 30-45 cm,Désherber soigneusement la ferme.Les mauvaises herbes à la ferme ne doivent pas dépasser 30-45 cm
12,"Use tools that minimise the risk of injury or accidnets (long sickle, cutlass etc)","Utilisez des outils qui minimisent les risques de blessures ou d'accidents (faucille longue, coutelas, etc.)"
13,Harvest only ripe to get suffient bean weight,Récoltez uniquement à maturité pour obtenir un poids de haricots suffisant
14,Leave tree stalks on the tree to help with regeneration of pods and flowers,Laissez les tiges des arbres sur l'arbre pour aider à la régénération des gousses et des fleurs
15,Farmer should use minimium strokes to avoid tree cuts and damages the cussions and flowers droping prematurely,Le fermier doit utiliser des coups minimaux pour éviter les coupes d'arbres et endommager les cussions et les fleurs qui tombent prématurément
16,Pods should be harvested at the right intervals to avoid pods being over ripped or diseased,Les cabosses doivent être récoltées aux bons intervalles pour éviter que les cabosses ne soient trop déchirées ou malades
17,Plant recommended shade trees to provide shade to cocoa farm,Plantez des arbres d'ombrage recommandés pour fournir de l'ombre à la plantation de cacao
18,"For all undesired trees that are not prunned, cut, and replace with suitable varieties ","Pour tous les arbres indésirables qui ne sont pas élagués, coupés et remplacés par des variétés appropriées"
19,Make sure shade trees are 12 meters apart from each other,Assurez-vous que les arbres d'ombrage sont distants de 12 mètres les uns des autres
